"GeneID"	"GeneSymbol"	"TaxID"	"OrigTaxID"	"OrigGeneID"	"OrigGeneSymbol"	"OrigGeneName"
"400548"	"400548"	"LINC02139"	9606	9606	"400548"	"LINC02139"	"long intergenic non-protein coding RNA 2139"
"102724483"	NA	NA	NA	NA	"102724483"	NA	NA
"101930370"	"101930370"	"LOC101930370"	9606	9606	"101930370"	"LOC101930370"	"uncharacterized LOC101930370"
"7712"	"7712"	"ZNF157"	9606	9606	"7712"	"ZNF157"	"zinc finger protein 157"
"101930344"	NA	NA	NA	9606	"101930344"	"-"	"-"
"645485"	"645485"	"LOC645485"	9606	9606	"645485"	"LOC645485"	"uncharacterized LOC645485"
"7732"	"7732"	"RNF112"	9606	9606	"7732"	"RNF112"	"ring finger protein 112"
"425054"	"425054"	"VCX3B"	9606	9606	"425054"	"VCX3B"	"variable charge X-linked 3B"
"29765"	"29765"	"TMOD4"	9606	9606	"29765"	"TMOD4"	"tropomodulin 4"
"140846"	"140846"	"FAM83C-AS1"	9606	9606	"140846"	"FAM83C-AS1"	"FAM83C antisense RNA 1"
"257062"	"257062"	"CATSPERD"	9606	9606	"257062"	"CATSPERD"	"cation channel sperm associated auxiliary subunit delta"
"102724402"	NA	NA	NA	NA	"102724402"	NA	NA
"102724416"	"102724416"	"LOC102724416"	9606	9606	"102724416"	"LOC102724416"	"uncharacterized LOC102724416"
"6327"	"6327"	"SCN2B"	9606	9606	"6327"	"SCN2B"	"sodium voltage-gated channel beta subunit 2"
"400668"	"400668"	"PRSS57"	9606	9606	"400668"	"PRSS57"	"serine protease 57"
"6345"	"6345"	"SRL"	9606	9606	"6345"	"SRL"	"sarcalumenin"
"102724368"	"102724368"	"LINC02585"	9606	9606	"102724368"	"LINC02585"	"long intergenic non-protein coding RNA 2585"
"102724392"	"102724392"	"LINC02197"	9606	9606	"102724392"	"LINC02197"	"long intergenic non-protein coding RNA 2197"
"102724393"	"102724393"	"LOC102724393"	9606	9606	"102724393"	"LOC102724393"	"uncharacterized LOC102724393"
"102724384"	NA	NA	NA	NA	"102724384"	NA	NA
"102724339"	"102724339"	"CTB-30L5.1"	9606	9606	"102724339"	"CTB-30L5.1"	"uncharacterized CTB-30L5.1"
"26683"	"26683"	"OR4F3"	9606	9606	"26683"	"OR4F3"	"olfactory receptor family 4 subfamily F member 3"
"400620"	"400620"	"LINC02092"	9606	9606	"400620"	"LINC02092"	"long intergenic non-protein coding RNA 2092"
"127550"	"127550"	"A3GALT2"	9606	9606	"127550"	"A3GALT2"	"alpha 1,3-galactosyltransferase 2"
"102724328"	"102724328"	"-"	9606	9606	"102724328"	"-"	"-"
"101929201"	"101929201"	"LOC101929201"	9606	9606	"101929201"	"LOC101929201"	"uncharacterized LOC101929201"
"101929206"	"101929206"	"-"	9606	9606	"101929206"	"-"	"-"
"100129845"	"100129845"	"PCOLCE-AS1"	9606	9606	"100129845"	"PCOLCE-AS1"	"PCOLCE antisense RNA 1"
"102724352"	"102724352"	"-"	9606	9606	"102724352"	"-"	"-"
"89886"	"89886"	"SLAMF9"	9606	9606	"89886"	"SLAMF9"	"SLAM family member 9"
"89883"	"89883"	"OR6W1P"	9606	9606	"89883"	"OR6W1P"	"olfactory receptor family 6 subfamily W member 1 pseudogene"
"266743"	"266743"	"NPAS4"	9606	9606	"266743"	"NPAS4"	"neuronal PAS domain protein 4"
"101930617"	NA	NA	NA	NA	"101930617"	NA	NA
"101930602"	NA	NA	NA	NA	"101930602"	NA	NA
"29895"	"29895"	"MYLPF"	9606	9606	"29895"	"MYLPF"	"myosin light chain, phosphorylatable, fast skeletal muscle"
"388387"	"388387"	"LINC00671"	9606	9606	"388387"	"LINC00671"	"long intergenic non-protein coding RNA 671"
"101930655"	NA	NA	NA	9606	"101930655"	"-"	"-"
"129025"	"129025"	"ZNF280A"	9606	9606	"129025"	"ZNF280A"	"zinc finger protein 280A"
"100302285"	"100302285"	"MIR1244-1"	9606	9606	"100302285"	"MIR1244-1"	"microRNA 1244-1"
"101060363"	NA	NA	NA	9606	"101060363"	"PPIAP34"	"peptidylprolyl isomerase A pseudogene 34"
"100861573"	"100861573"	"LINC00572"	9606	9606	"100861573"	"LINC00572"	"long intergenic non-protein coding RNA 572"
"101929227"	"101929227"	"LOC101929227"	9606	9606	"101929227"	"LOC101929227"	"uncharacterized LOC101929227"
"102724305"	"102724305"	"-"	9606	9606	"102724305"	"-"	"-"
"101929232"	"101929232"	"LOC101929232"	9606	9606	"101929232"	"LOC101929232"	"uncharacterized LOC101929232"
"102724307"	"102724307"	"CYP17A1-AS1"	9606	9606	"102724307"	"CYP17A1-AS1"	"CYP17A1 antisense RNA 1"
"102724311"	NA	NA	NA	NA	"102724311"	NA	NA
"374569"	"374569"	"ASPG"	9606	9606	"374569"	"ASPG"	"asparaginase"
"101929255"	"101929255"	"LOC101929255"	9606	9606	"101929255"	"LOC101929255"	"uncharacterized LOC101929255"
"6370"	"6370"	"CCL25"	9606	9606	"6370"	"CCL25"	"C-C motif chemokine ligand 25"
"101929263"	NA	NA	NA	NA	"101929263"	NA	NA
"102467147"	"102467147"	"LINC01948"	9606	9606	"102467147"	"LINC01948"	"long intergenic non-protein coding RNA 1948"
"400579"	"400579"	"LINC02076"	9606	9606	"400579"	"LINC02076"	"long intergenic non-protein coding RNA 2076"
"6366"	"6366"	"CCL21"	9606	9606	"6366"	"CCL21"	"C-C motif chemokine ligand 21"
"101929279"	"101929279"	"LOC101929279"	9606	9606	"101929279"	"LOC101929279"	"uncharacterized LOC101929279"
"102724272"	NA	NA	NA	NA	"102724272"	NA	NA
"102724261"	"102724261"	"LOC102724261"	9606	9606	"102724261"	"LOC102724261"	"uncharacterized LOC102724261"
"6441"	"6441"	"SFTPD"	9606	9606	"6441"	"SFTPD"	"surfactant protein D"
"102724262"	"102724262"	"LOC102724262"	9606	9606	"102724262"	"LOC102724262"	"uncharacterized LOC102724262"
"6442"	"6442"	"SGCA"	9606	9606	"6442"	"SGCA"	"sarcoglycan alpha"
"6445"	"6445"	"SGCG"	9606	9606	"6445"	"SGCG"	"sarcoglycan gamma"
"102724246"	"102724246"	"TTC39C-AS1"	9606	9606	"102724246"	"TTC39C-AS1"	"TTC39C antisense RNA 1"
"102724233"	"102724233"	"LINC02576"	9606	9606	"102724233"	"LINC02576"	"long intergenic non-protein coding RNA 2576"
"64922"	"64922"	"LRRC19"	9606	9606	"64922"	"LRRC19"	"leucine rich repeat containing 19"
"102724220"	"102724220"	"LOC102724220"	9606	9606	"102724220"	"LOC102724220"	"uncharacterized LOC102724220"
"6401"	"6401"	"SELE"	9606	9606	"6401"	"SELE"	"selectin E"
"7932"	"7932"	"OR2H2"	9606	9606	"7932"	"OR2H2"	"olfactory receptor family 2 subfamily H member 2"
"6403"	"6403"	"SELP"	9606	9606	"6403"	"SELP"	"selectin P"
"102724206"	NA	NA	NA	NA	"102724206"	NA	NA
"102724208"	"102724208"	"LINC01900"	9606	9606	"102724208"	"LINC01900"	"long intergenic non-protein coding RNA 1900"
"100128682"	"100128682"	"LINC01531"	9606	9606	"100128682"	"LINC01531"	"long intergenic non-protein coding RNA 1531"
"101930587"	NA	NA	NA	NA	"101930587"	NA	NA
"7955"	"7955"	"RNF217-AS1"	9606	9606	"7955"	"RNF217-AS1"	"RNF217 antisense RNA 1 (head to head)"
"26582"	"26582"	"DUX3"	9606	9606	"26582"	"DUX3"	"double homeobox 3"
"101930599"	NA	NA	NA	NA	"101930599"	NA	NA
"400709"	"400709"	"SIGLEC16"	9606	9606	"400709"	"SIGLEC16"	"sialic acid binding Ig like lectin 16 (gene/pseudogene)"
"390928"	"390928"	"ACP7"	9606	9606	"390928"	"ACP7"	"acid phosphatase 7, tartrate resistant (putative)"
"400710"	"400710"	"LOC400710"	9606	9606	"400710"	"LOC400710"	"uncharacterized LOC400710"
"101930573"	NA	NA	NA	9606	"101930573"	"-"	"-"
"646736"	"646736"	"LOC646736"	9606	9606	"646736"	"LOC646736"	"uncharacterized LOC646736"
"252995"	"252995"	"FNDC5"	9606	9606	"252995"	"FNDC5"	"fibronectin type III domain containing 5"
"379034"	"379034"	"LINC01181"	9606	9606	"379034"	"LINC01181"	"long intergenic non-protein coding RNA 1181"
"51086"	"51086"	"TNNI3K"	9606	9606	"51086"	"TNNI3K"	"TNNI3 interacting kinase"
"101930502"	NA	NA	NA	NA	"101930502"	NA	NA
"101929178"	"101929178"	"LOC101929178"	9606	9606	"101929178"	"LOC101929178"	"uncharacterized LOC101929178"
"388289"	"388289"	"C16orf47"	9606	9606	"388289"	"C16orf47"	"chromosome 16 open reading frame 47"
"387111"	"387111"	"LINC00222"	9606	9606	"387111"	"LINC00222"	"long intergenic non-protein coding RNA 222"
"101929119"	NA	NA	NA	NA	"101929119"	NA	NA
"101929122"	"101929122"	"LOC101929122"	9606	9606	"101929122"	"LOC101929122"	"uncharacterized LOC101929122"
"225689"	"225689"	"MAPK15"	9606	9606	"225689"	"MAPK15"	"mitogen-activated protein kinase 15"
"101929159"	"101929159"	"DENND6A-DT"	9606	9606	"101929159"	"DENND6A-DT"	"DENND6A divergent transcript"
"29906"	"29906"	"ST8SIA5"	9606	9606	"29906"	"ST8SIA5"	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5"
"101929138"	"101929138"	"-"	9606	9606	"101929138"	"-"	"-"
"101929133"	"101929133"	"-"	9606	9606	"101929133"	"-"	"-"
"101929132"	"101929132"	"-"	9606	9606	"101929132"	"-"	"-"
"388242"	"388242"	"LOC388242"	9606	9606	"388242"	"LOC388242"	"SAGA complex associated factor 29 pseudogene"
"101929141"	"101929141"	"LOC101929141"	9606	9606	"101929141"	"LOC101929141"	"coiled-coil domain-containing protein 144B-like"
"101929144"	"101929144"	"LINC01858"	9606	9606	"101929144"	"LINC01858"	"long intergenic non-protein coding RNA 1858"
"57115"	"57115"	"PGLYRP4"	9606	9606	"57115"	"PGLYRP4"	"peptidoglycan recognition protein 4"
"57113"	"57113"	"TRPC7"	9606	9606	"57113"	"TRPC7"	"transient receptor potential cation channel subfamily C member 7"
"389634"	"389634"	"LINC00937"	9606	9606	"389634"	"LINC00937"	"long intergenic non-protein coding RNA 937"
"57126"	"57126"	"CD177"	9606	9606	"57126"	"CD177"	"CD177 molecule"
"5076"	"5076"	"PAX2"	9606	9606	"5076"	"PAX2"	"paired box 2"
"171482"	"171482"	"FAM9A"	9606	9606	"171482"	"FAM9A"	"family with sequence similarity 9 member A"
"171484"	"171484"	"FAM9C"	9606	9606	"171484"	"FAM9C"	"family with sequence similarity 9 member C"
"100129654"	"100129654"	"TCF24"	9606	9606	"100129654"	"TCF24"	"transcription factor 24"
"27019"	"27019"	"DNAI1"	9606	9606	"27019"	"DNAI1"	"dynein axonemal intermediate chain 1"
"400823"	"400823"	"FAM177B"	9606	9606	"400823"	"FAM177B"	"family with sequence similarity 177 member B"
"57172"	"57172"	"CAMK1G"	9606	9606	"57172"	"CAMK1G"	"calcium/calmodulin dependent protein kinase IG"
"100129617"	"100129617"	"LOC100129617"	9606	9606	"100129617"	"LOC100129617"	"uncharacterized LOC100129617"
"400866"	"400866"	"LINC00114"	9606	9606	"400866"	"LINC00114"	"long intergenic non-protein coding RNA 114"
"342125"	"342125"	"TMC3"	9606	9606	"342125"	"TMC3"	"transmembrane channel like 3"
"221472"	"221472"	"FGD2"	9606	9606	"221472"	"FGD2"	"FYVE, RhoGEF and PH domain containing 2"
"81872"	"81872"	"KRTAP2-1"	9606	9606	"81872"	"KRTAP2-1"	"keratin associated protein 2-1"
"388965"	"388965"	"FUNDC2P2"	9606	9606	"388965"	"FUNDC2P2"	"FUN14 domain containing 2 pseudogene 2"
"81851"	"81851"	"KRTAP1-1"	9606	9606	"81851"	"KRTAP1-1"	"keratin associated protein 1-1"
"649330"	"649330"	"HNRNPCL3"	9606	9606	"649330"	"HNRNPCL3"	"heterogeneous nuclear ribonucleoprotein C-like 3"
"644083"	"644083"	"-"	9606	9606	"644083"	"-"	"-"
"102724979"	"102724979"	"LOC102724979"	9606	9606	"102724979"	"LOC102724979"	"uncharacterized LOC102724979"
"100287477"	"100287477"	"LOC100287477"	9606	9606	"100287477"	"LOC100287477"	"zinc finger protein 420-like"
"102724973"	"102724973"	"-"	9606	9606	"102724973"	"-"	"-"
"647107"	"647107"	"LINC01192"	9606	9606	"647107"	"LINC01192"	"long intergenic non-protein coding RNA 1192"
"574028"	"574028"	"CLLU1"	9606	9606	"574028"	"CLLU1"	"chronic lymphocytic leukemia up-regulated 1"
"574029"	"574029"	"DUSP5P1"	9606	9606	"574029"	"DUSP5P1"	"dual specificity phosphatase 5 pseudogene 1"
"574016"	"574016"	"CLLU1OS"	9606	9606	"574016"	"CLLU1OS"	"chronic lymphocytic leukemia up-regulated 1 opposite strand"
"286002"	"286002"	"SLC26A4-AS1"	9606	9606	"286002"	"SLC26A4-AS1"	"SLC26A4 antisense RNA 1"
"100287413"	"100287413"	"-"	9606	9606	"100287413"	"-"	"-"
"221416"	"221416"	"C6orf223"	9606	9606	"221416"	"C6orf223"	"chromosome 6 open reading frame 223"
"136991"	"136991"	"ASZ1"	9606	9606	"136991"	"ASZ1"	"ankyrin repeat, SAM and basic leucine zipper domain containing 1"
"102723442"	"102723442"	"LINC01754"	9606	9606	"102723442"	"LINC01754"	"long intergenic non-protein coding RNA 1754"
"102723439"	"102723439"	"LOC102723439"	9606	9606	"102723439"	"LOC102723439"	"uncharacterized LOC102723439"
"102723434"	NA	NA	NA	NA	"102723434"	NA	NA
"414196"	"414196"	"CELF2-AS1"	9606	9606	"414196"	"CELF2-AS1"	"CELF2 antisense RNA 1"
"27035"	"27035"	"NOX1"	9606	9606	"27035"	"NOX1"	"NADPH oxidase 1"
"102724907"	"102724907"	"LOC102724907"	9606	9606	"102724907"	"LOC102724907"	"uncharacterized LOC102724907"
"7224"	"7224"	"TRPC5"	9606	9606	"7224"	"TRPC5"	"transient receptor potential cation channel subfamily C member 5"
"7225"	"7225"	"TRPC6"	9606	9606	"7225"	"TRPC6"	"transient receptor potential cation channel subfamily C member 6"
"27099"	"27099"	"SND1-IT1"	9606	9606	"27099"	"SND1-IT1"	"SND1 intronic transcript 1"
"102724938"	"102724938"	"LOC102724938"	9606	9606	"102724938"	"LOC102724938"	"uncharacterized LOC102724938"
"343637"	"343637"	"RSPO4"	9606	9606	"343637"	"RSPO4"	"R-spondin 4"
"389610"	"389610"	"XKR5"	9606	9606	"389610"	"XKR5"	"XK related 5"
"102725514"	NA	NA	NA	NA	"102725514"	NA	NA
"102725518"	NA	NA	NA	NA	"102725518"	NA	NA
"5199"	"5199"	"CFP"	9606	9606	"5199"	"CFP"	"complement factor properdin"
"400935"	"400935"	"IL17REL"	9606	9606	"400935"	"IL17REL"	"interleukin 17 receptor E like"
"100419743"	"100419743"	"DBET"	9606	9606	"100419743"	"DBET"	"D4Z4 binding element transcript"
"342035"	"342035"	"GLDN"	9606	9606	"342035"	"GLDN"	"gliomedin"
"102723389"	"102723389"	"LOC102723389"	9606	9606	"102723389"	"LOC102723389"	"uncharacterized LOC102723389"
"64714"	"64714"	"PDIA2"	9606	9606	"64714"	"PDIA2"	"protein disulfide isomerase family A member 2"
"5142"	"5142"	"PDE4B"	9606	9606	"5142"	"PDE4B"	"phosphodiesterase 4B"
"27120"	"27120"	"DKKL1"	9606	9606	"27120"	"DKKL1"	"dickkopf like acrosomal protein 1"
"27123"	"27123"	"DKK2"	9606	9606	"27123"	"DKK2"	"dickkopf WNT signaling pathway inhibitor 2"
"102723352"	NA	NA	NA	NA	"102723352"	NA	NA
"5179"	"5179"	"PENK"	9606	9606	"5179"	"PENK"	"proenkephalin"
"102723354"	"102723354"	"LINC02298"	9606	9606	"102723354"	"LINC02298"	"long intergenic non-protein coding RNA 2298"
"30813"	"30813"	"VSX1"	9606	9606	"30813"	"VSX1"	"visual system homeobox 1"
"27133"	"27133"	"KCNH5"	9606	9606	"27133"	"KCNH5"	"potassium voltage-gated channel subfamily H member 5"
"100528032"	"100528032"	"KLRC4-KLRK1"	9606	9606	"100528032"	"KLRC4-KLRK1"	"KLRC4-KLRK1 readthrough"
"400946"	"400946"	"LINC00954"	9606	9606	"400946"	"LINC00954"	"long intergenic non-protein coding RNA 954"
"102723361"	NA	NA	NA	NA	"102723361"	NA	NA
"102723367"	NA	NA	NA	NA	"102723367"	NA	NA
"4064"	"4064"	"CD180"	9606	9606	"4064"	"CD180"	"CD180 molecule"
"4056"	"4056"	"LTC4S"	9606	9606	"4056"	"LTC4S"	"leukotriene C4 synthase"
"57091"	"57091"	"CASS4"	9606	9606	"57091"	"CASS4"	"Cas scaffold protein family member 4"
"4049"	"4049"	"LTA"	9606	9606	"4049"	"LTA"	"lymphotoxin alpha"
"4081"	"4081"	"MAB21L1"	9606	9606	"4081"	"MAB21L1"	"mab-21 like 1"
"286187"	"286187"	"PPP1R42"	9606	9606	"286187"	"PPP1R42"	"protein phosphatase 1 regulatory subunit 42"
"80111"	"80111"	"C3orf36"	9606	9606	"80111"	"C3orf36"	"chromosome 3 open reading frame 36"
"80122"	"80122"	"MAP3K19"	9606	9606	"80122"	"MAP3K19"	"mitogen-activated protein kinase kinase kinase 19"
"80128"	"80128"	"TRIM46"	9606	9606	"80128"	"TRIM46"	"tripartite motif containing 46"
"102724861"	"102724861"	"LOC102724861"	9606	9606	"102724861"	"LOC102724861"	"uncharacterized LOC102724861"
"102724854"	NA	NA	NA	NA	"102724854"	NA	NA
"102724855"	"102724855"	"LINC02113"	9606	9606	"102724855"	"LINC02113"	"long intergenic non-protein coding RNA 2113"
"101060602"	NA	NA	NA	9606	"101060602"	"-"	"-"
"102724851"	"102724851"	"LOC102724851"	9606	9606	"102724851"	"LOC102724851"	"uncharacterized LOC102724851"
"6261"	"6261"	"RYR1"	9606	9606	"6261"	"RYR1"	"ryanodine receptor 1"
"4009"	"4009"	"LMX1A"	9606	9606	"4009"	"LMX1A"	"LIM homeobox transcription factor 1 alpha"
"653712"	"653712"	"LOC653712"	9606	9606	"653712"	"LOC653712"	"intraflagellar transport 122 homolog (Chlamydomonas) pseudogene"
"100287559"	"100287559"	"ADPGK-AS1"	9606	9606	"100287559"	"ADPGK-AS1"	"ADPGK antisense RNA 1"
"102467073"	"102467073"	"HRAT5"	9606	9606	"102467073"	"HRAT5"	"heart tissue-associated transcript 5"
"4046"	"4046"	"LSP1"	9606	9606	"4046"	"LSP1"	"lymphocyte specific protein 1"
"100128081"	"100128081"	"JAZF1-AS1"	9606	9606	"100128081"	"JAZF1-AS1"	"JAZF1 antisense RNA 1"
"5100"	"5100"	"PCDH8"	9606	9606	"5100"	"PCDH8"	"protocadherin 8"
"341350"	"341350"	"OVCH1"	9606	9606	"341350"	"OVCH1"	"ovochymase 1"
"27156"	"27156"	"RSPH14"	9606	9606	"27156"	"RSPH14"	"radial spoke head 14 homolog"
"7379"	"7379"	"UPK2"	9606	9606	"7379"	"UPK2"	"uroplakin 2"
"102723335"	"102723335"	"LOC102723335"	9606	9606	"102723335"	"LOC102723335"	"uncharacterized LOC102723335"
"102723323"	"102723323"	"LOC102723323"	9606	9606	"102723323"	"LOC102723323"	"uncharacterized LOC102723323"
"5121"	"5121"	"PCP4"	9606	9606	"5121"	"PCP4"	"Purkinje cell protein 4"
"102723327"	NA	NA	NA	NA	"102723327"	NA	NA
"102723313"	"102723313"	"LOC102723313"	9606	9606	"102723313"	"LOC102723313"	"uncharacterized LOC102723313"
"5294"	"5294"	"PIK3CG"	9606	9606	"5294"	"PIK3CG"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"
"341208"	"341208"	"HEPHL1"	9606	9606	"341208"	"HEPHL1"	"hephaestin like 1"
"27255"	"27255"	"CNTN6"	9606	9606	"27255"	"CNTN6"	"contactin 6"
"343472"	"343472"	"BARHL2"	9606	9606	"343472"	"BARHL2"	"BarH like homeobox 2"
"26212"	"26212"	"OR2B6"	9606	9606	"26212"	"OR2B6"	"olfactory receptor family 2 subfamily B member 6"
"26228"	"26228"	"STAP1"	9606	9606	"26228"	"STAP1"	"signal transducing adaptor family member 1"
"387644"	"387644"	"FAM238C"	9606	9606	"387644"	"FAM238C"	"family with sequence similarity 238 member C"
"27201"	"27201"	"GPR78"	9606	9606	"27201"	"GPR78"	"G protein-coupled receptor 78"
"647323"	"647323"	"LINC02026"	9606	9606	"647323"	"LINC02026"	"long intergenic non-protein coding RNA 2026"
"133491"	"133491"	"C5orf47"	9606	9606	"133491"	"C5orf47"	"chromosome 5 open reading frame 47"
"100128340"	"100128340"	"LOC100128340"	9606	9606	"100128340"	"LOC100128340"	"uncharacterized LOC100128340"
"100873932"	"100873932"	"DPYD-AS1"	9606	9606	"100873932"	"DPYD-AS1"	"DPYD antisense RNA 1"
"100873924"	"100873924"	"HLX-AS1"	9606	9606	"100873924"	"HLX-AS1"	"HLX antisense RNA 1"
"100287639"	"100287639"	"MTHFD2P1"	9606	9606	"100287639"	"MTHFD2P1"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 1"
"100873917"	"100873917"	"LPP-AS1"	9606	9606	"100873917"	"LPP-AS1"	"LPP antisense RNA 1"
"163747"	"163747"	"LEXM"	9606	9606	"163747"	"LEXM"	"lymphocyte expansion molecule"
"163688"	"163688"	"CALML6"	9606	9606	"163688"	"CALML6"	"calmodulin like 6"
"102724774"	"102724774"	"LINC01594"	9606	9606	"102724774"	"LINC01594"	"long intergenic non-protein coding RNA 1594"
"102724791"	NA	NA	NA	NA	"102724791"	NA	NA
"102724757"	"102724757"	"-"	9606	9606	"102724757"	"-"	"-"
"102723610"	NA	NA	NA	NA	"102723610"	NA	NA
"80243"	"80243"	"PREX2"	9606	9606	"80243"	"PREX2"	"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2"
"102723615"	NA	NA	NA	NA	"102723615"	NA	NA
"102723636"	"102723636"	"LOC102723636"	9606	9606	"102723636"	"LOC102723636"	"zinc finger protein 285-like"
"102724715"	"102724715"	"LOC102724715"	9606	9606	"102724715"	"LOC102724715"	"uncharacterized LOC102724715"
"102723656"	"102723656"	"LOC102723656"	9606	9606	"102723656"	"LOC102723656"	"uncharacterized LOC102723656"
"341277"	"341277"	"OVCH2"	9606	9606	"341277"	"OVCH2"	"ovochymase 2 (gene/pseudogene)"
"94086"	"94086"	"HSPB9"	9606	9606	"94086"	"HSPB9"	"heat shock protein family B (small) member 9"
"102723683"	NA	NA	NA	NA	"102723683"	NA	NA
"389812"	"389812"	"LCN15"	9606	9606	"389812"	"LCN15"	"lipocalin 15"
"164781"	"164781"	"DAW1"	9606	9606	"164781"	"DAW1"	"dynein assembly factor with WD repeats 1"
"390660"	"390660"	"ADAMTS7P1"	9606	9606	"390660"	"ADAMTS7P1"	"ADAMTS7 pseudogene 1"
